Agoritimo,Objetivo,Tempo de processamento em segundos
Busca em Largura,1,0.000136
Busca em Largura,2,5e-06
Busca em Largura,3,4e-06
Busca em Largura,4,6e-06
Busca em Largura,5,8e-06
Busca em Largura,6,1.2e-05
Busca em Largura,7,1.7e-05
Busca em Largura,8,2.8e-05
Busca em Largura,9,3.5e-05
Busca em Largura,10,5.3e-05
Busca em Largura,11,7.3e-05
Busca em Largura,12,0.000127
Busca em Largura,13,0.000157
Busca em Largura,14,0.000242
Busca em Largura,15,0.000314
Busca em Largura,16,0.000471
Busca em Largura,17,0.00067
Busca em Largura,18,0.001047
Busca em Largura,19,0.001278
Busca em Largura,20,0.002008
Busca em Largura,21,0.002728
Busca em Largura,22,0.004216
Busca em Largura,23,0.00587
Busca em Largura,24,0.007557
Busca em Largura,25,0.010996
Busca em Largura,26,0.017353
Busca em Largura,27,0.022919
Busca em Largura,28,0.041244
Busca em Largura,29,0.053649
Busca em Largura,30,0.099509
Busca em Largura,31,0.151917
Busca em Largura,32,0.245005
Busca em Largura,33,0.340725
Busca em Largura,34,0.549358
Busca em Largura,35,0.7397
Busca em Largura,36,1.12836
Busca em Largura,37,1.609364
Busca em Largura,38,2.499683
Busca em Largura,39,3.179343
Busca em Largura,40,4.569404
Busca em Largura,41,6.932113
Busca em Largura,42,15.62753
Busca em Largura,43,18.27517
Busca em Largura,44,37.405638
Busca em Largura,45,50.07758
Busca em Largura,46,81.90159
Busca em Largura,47,203.830748
Busca em Largura,48,NaN
Busca em Largura,49,NaN
Busca em Largura,50,NaN
Busca em Profundidade com produndidade 10,1,3e-06
Busca em Profundidade com produndidade 10,2,4e-06
Busca em Profundidade com produndidade 10,3,3e-06
Busca em Profundidade com produndidade 10,4,4e-06
Busca em Profundidade com produndidade 10,5,4e-06
Busca em Profundidade com produndidade 10,6,5e-06
Busca em Profundidade com produndidade 10,7,5e-06
Busca em Profundidade com produndidade 10,8,7e-06
Busca em Profundidade com produndidade 10,9,6e-06
Busca em Profundidade com produndidade 10,10,7e-06
Busca em Profundidade com produndidade 10,11,7e-06
Busca em Profundidade com produndidade 10,12,9e-06
Busca em Profundidade com produndidade 10,13,9e-06
Busca em Profundidade com produndidade 10,14,1e-05
Busca em Profundidade com produndidade 10,15,1e-05
Busca em Profundidade com produndidade 10,16,1.1e-05
Busca em Profundidade com produndidade 10,17,1.1e-05
Busca em Profundidade com produndidade 10,18,1.2e-05
Busca em Profundidade com produndidade 10,19,1.2e-05
Busca em Profundidade com produndidade 10,20,1.2e-05
Busca em Profundidade com produndidade 10,21,1.4e-05
Busca em Profundidade com produndidade 10,22,NaN
Busca em Profundidade com produndidade 10,23,NaN
Busca em Profundidade com produndidade 10,24,NaN
Busca em Profundidade com produndidade 10,25,NaN
Busca em Profundidade com produndidade 10,26,NaN
Busca em Profundidade com produndidade 10,27,NaN
Busca em Profundidade com produndidade 10,28,NaN
Busca em Profundidade com produndidade 10,29,NaN
Busca em Profundidade com produndidade 10,30,NaN
Busca em Profundidade com produndidade 10,31,NaN
Busca em Profundidade com produndidade 10,32,NaN
Busca em Profundidade com produndidade 10,33,NaN
Busca em Profundidade com produndidade 10,34,NaN
Busca em Profundidade com produndidade 10,35,NaN
Busca em Profundidade com produndidade 10,36,NaN
Busca em Profundidade com produndidade 10,37,NaN
Busca em Profundidade com produndidade 10,38,NaN
Busca em Profundidade com produndidade 10,39,NaN
Busca em Profundidade com produndidade 10,40,NaN
Busca em Profundidade com produndidade 10,41,NaN
Busca em Profundidade com produndidade 10,42,NaN
Busca em Profundidade com produndidade 10,43,NaN
Busca em Profundidade com produndidade 10,44,NaN
Busca em Profundidade com produndidade 10,45,NaN
Busca em Profundidade com produndidade 10,46,NaN
Busca em Profundidade com produndidade 10,47,NaN
Busca em Profundidade com produndidade 10,48,NaN
Busca em Profundidade com produndidade 10,49,NaN
Busca em Profundidade com produndidade 10,50,NaN
Busca em Profundidade com produndidade 100,1,2e-06
Busca em Profundidade com produndidade 100,2,3e-06
Busca em Profundidade com produndidade 100,3,2e-06
Busca em Profundidade com produndidade 100,4,4e-06
Busca em Profundidade com produndidade 100,5,4e-06
Busca em Profundidade com produndidade 100,6,5e-06
Busca em Profundidade com produndidade 100,7,4e-06
Busca em Profundidade com produndidade 100,8,6e-06
Busca em Profundidade com produndidade 100,9,6e-06
Busca em Profundidade com produndidade 100,10,8e-06
Busca em Profundidade com produndidade 100,11,6e-06
Busca em Profundidade com produndidade 100,12,8e-06
Busca em Profundidade com produndidade 100,13,8e-06
Busca em Profundidade com produndidade 100,14,1e-05
Busca em Profundidade com produndidade 100,15,9e-06
Busca em Profundidade com produndidade 100,16,1e-05
Busca em Profundidade com produndidade 100,17,1e-05
Busca em Profundidade com produndidade 100,18,1.1e-05
Busca em Profundidade com produndidade 100,19,1.1e-05
Busca em Profundidade com produndidade 100,20,1.1e-05
Busca em Profundidade com produndidade 100,21,1.2e-05
Busca em Profundidade com produndidade 100,22,1.7e-05
Busca em Profundidade com produndidade 100,23,1.4e-05
Busca em Profundidade com produndidade 100,24,1.5e-05
Busca em Profundidade com produndidade 100,25,1.8e-05
Busca em Profundidade com produndidade 100,26,1.7e-05
Busca em Profundidade com produndidade 100,27,1.7e-05
Busca em Profundidade com produndidade 100,28,1.8e-05
Busca em Profundidade com produndidade 100,29,1.8e-05
Busca em Profundidade com produndidade 100,30,2e-05
Busca em Profundidade com produndidade 100,31,2e-05
Busca em Profundidade com produndidade 100,32,2.1e-05
Busca em Profundidade com produndidade 100,33,2.2e-05
Busca em Profundidade com produndidade 100,34,2.3e-05
Busca em Profundidade com produndidade 100,35,2.3e-05
Busca em Profundidade com produndidade 100,36,2.3e-05
Busca em Profundidade com produndidade 100,37,2.3e-05
Busca em Profundidade com produndidade 100,38,2.4e-05
Busca em Profundidade com produndidade 100,39,2.4e-05
Busca em Profundidade com produndidade 100,40,2.5e-05
Busca em Profundidade com produndidade 100,41,2.5e-05
Busca em Profundidade com produndidade 100,42,2.7e-05
Busca em Profundidade com produndidade 100,43,2.7e-05
Busca em Profundidade com produndidade 100,44,2.8e-05
Busca em Profundidade com produndidade 100,45,2.8e-05
Busca em Profundidade com produndidade 100,46,2.7e-05
Busca em Profundidade com produndidade 100,47,2.7e-05
Busca em Profundidade com produndidade 100,48,3.3e-05
Busca em Profundidade com produndidade 100,49,2.6e-05
Busca em Profundidade com produndidade 100,50,3.1e-05
Busca em Profundidade Iterativa,1,2e-06
Busca em Profundidade Iterativa,2,3e-06
Busca em Profundidade Iterativa,3,2e-06
Busca em Profundidade Iterativa,4,6e-06
Busca em Profundidade Iterativa,5,5e-06
Busca em Profundidade Iterativa,6,1.2e-05
Busca em Profundidade Iterativa,7,1.2e-05
Busca em Profundidade Iterativa,8,2.3e-05
Busca em Profundidade Iterativa,9,2.3e-05
Busca em Profundidade Iterativa,10,4.4e-05
Busca em Profundidade Iterativa,11,4.5e-05
Busca em Profundidade Iterativa,12,8.7e-05
Busca em Profundidade Iterativa,13,8.6e-05
Busca em Profundidade Iterativa,14,0.000185
Busca em Profundidade Iterativa,15,0.000168
Busca em Profundidade Iterativa,16,0.000314
Busca em Profundidade Iterativa,17,0.000319
Busca em Profundidade Iterativa,18,0.000686
Busca em Profundidade Iterativa,19,0.000616
Busca em Profundidade Iterativa,20,0.00122
Busca em Profundidade Iterativa,21,0.001198
Busca em Profundidade Iterativa,22,0.002295
Busca em Profundidade Iterativa,23,0.00242
Busca em Profundidade Iterativa,24,0.004602
Busca em Profundidade Iterativa,25,0.004381
Busca em Profundidade Iterativa,26,0.009329
Busca em Profundidade Iterativa,27,0.009369
Busca em Profundidade Iterativa,28,0.017671
Busca em Profundidade Iterativa,29,0.018054
Busca em Profundidade Iterativa,30,0.036864
Busca em Profundidade Iterativa,31,0.036932
Busca em Profundidade Iterativa,32,0.071854
Busca em Profundidade Iterativa,33,0.072607
Busca em Profundidade Iterativa,34,0.145739
Busca em Profundidade Iterativa,35,0.145814
Busca em Profundidade Iterativa,36,0.288112
Busca em Profundidade Iterativa,37,0.289212
Busca em Profundidade Iterativa,38,0.575135
Busca em Profundidade Iterativa,39,0.576907
Busca em Profundidade Iterativa,40,1.148055
Busca em Profundidade Iterativa,41,1.150957
Busca em Profundidade Iterativa,42,2.295548
Busca em Profundidade Iterativa,43,2.292189
Busca em Profundidade Iterativa,44,4.577108
Busca em Profundidade Iterativa,45,4.583839
Busca em Profundidade Iterativa,46,9.158349
Busca em Profundidade Iterativa,48,18.4065
Busca em Profundidade Iterativa,49,18.456886
Busca em Profundidade Iterativa,50,36.573229
